,price,kms_driven,owner,age,power,BMW,Bajaj,Benelli,Ducati,HarleyDavidson,Hero,Honda,Hyosung,Ideal,Indian,Jawa,KTM,Kawasaki,LML,MV,Mahindra,Rajdoot,RoyalEnfield,Suzuki,TVS,Triumph,Yamaha,Yezdi
30,88000.0,21914.0,1,3.0,200.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,80000.0,20000.0,2,4.0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,40900.0,15000.0,1,6.0,220.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,180000.0,17700.0,1,4.0,390.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,40000.0,30000.0,1,8.0,150.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,70000.0,100000.0,2,8.0,200.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,98800.0,39000.0,1,5.0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,65000.0,43000.0,1,6.0,150.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,190500.0,4550.0,1,2.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,179000.0,3400.0,1,2.0,200.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,70000.0,45000.0,1,8.0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,45000.0,36100.0,1,6.0,220.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,78000.0,8500.0,1,13.0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,110000.0,2550.0,1,2.0,220.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,85000.0,18000.0,1,6.0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,38000.0,35000.0,1,9.0,200.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,55346.0,38000.0,1,10.0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
